released_day,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%,mode
14,125,80,89,83,31,8,4,Major
23,92,71,61,74,7,10,4,Major
30,138,51,32,53,17,31,6,Major
23,170,55,58,72,11,11,15,Major
18,144,65,23,80,14,11,6,Minor
1,141,92,66,58,19,8,24,Major
16,148,67,83,76,48,8,3,Minor
7,100,67,26,71,37,11,4,Major
15,130,85,22,62,12,28,9,Minor
17,170,81,56,48,21,8,33,Minor
17,83,57,56,72,23,27,5,Minor
7,150,78,52,82,18,15,7,Minor
12,118,71,65,68,6,3,7,Major
14,130,51,32,43,83,9,3,Minor
31,174,52,66,73,34,31,6,Minor
8,89,64,43,73,5,16,4,Major
24,120,78,76,59,43,34,3,Minor
13,78,44,14,9,96,10,3,Major
31,100,86,67,66,14,12,16,Major
24,120,63,36,73,0,36,4,Major
22,140,65,87,74,22,42,4,Minor
7,123,69,82,76,6,6,3,Major
1,135,48,44,42,12,11,3,Minor
31,133,85,81,67,26,12,5,Minor
2,99,85,83,68,7,36,20,Major
22,130,79,96,86,9,9,9,Minor
25,107,80,82,80,43,14,4,Major
29,122,81,74,71,14,56,4,Minor
31,204,52,52,68,46,15,4,Major
25,110,67,78,85,2,33,5,Minor
13,126,74,35,84,0,11,6,Minor
28,168,56,63,87,39,11,5,Major
2,98,71,17,61,36,8,5,Minor
21,97,64,51,63,12,19,5,Major
23,180,72,61,63,67,9,28,Minor
1,120,81,63,68,11,11,4,Major
7,150,61,39,73,37,11,3,Major
1,96,75,57,68,9,13,6,Major
1,95,60,48,79,0,12,4,Major
19,125,79,96,85,27,11,6,Minor
10,144,56,84,65,23,10,6,Minor
9,90,76,91,50,54,7,5,Major
26,128,56,38,97,4,35,4,Minor
21,79,56,58,56,37,11,10,Major
23,144,77,75,58,52,23,25,Major
27,122,67,49,64,10,10,3,Major
13,140,71,82,81,11,6,5,Major
24,134,59,51,52,9,15,7,Minor
21,186,68,49,59,16,13,28,Major
24,67,53,50,53,23,44,7,Minor
2,106,72,17,64,7,10,5,Minor
6,128,60,23,91,0,12,3,Major
24,107,92,55,70,18,15,7,Minor
15,130,67,96,88,12,8,4,Minor
15,123,45,13,54,70,9,4,Minor
29,171,50,38,80,0,9,7,Major
24,137,64,88,72,51,17,5,Minor
26,125,84,85,68,58,22,4,Minor
14,128,86,42,72,59,9,19,Minor
24,130,61,53,58,55,27,4,Minor
4,130,86,59,96,50,9,5,Major
3,133,70,86,81,25,25,5,Major
24,101,88,72,59,62,9,3,Major
24,95,77,53,64,74,17,14,Minor
6,98,90,40,59,0,10,29,Minor
1,173,43,28,66,0,23,3,Major
21,90,64,10,62,7,48,7,Major
2,198,59,71,42,55,10,7,Minor
14,140,56,48,73,0,35,4,Major
7,82,51,22,53,1,15,3,Major
23,130,77,84,89,17,43,5,Minor
28,81,76,53,53,44,9,9,Major
15,94,51,14,59,65,25,3,Minor
14,124,61,41,81,5,10,3,Major
6,128,62,55,78,1,23,4,Major
1,138,49,42,62,9,11,3,Minor
17,132,58,27,48,50,12,3,Major
22,131,71,24,47,1,27,9,Major
20,168,78,58,73,5,10,7,Minor
22,98,68,40,79,33,30,6,Major
1,102,48,50,73,43,15,4,Major
22,101,34,32,57,78,20,3,Major
23,130,63,36,34,76,35,9,Major
7,142,50,20,64,1,12,3,Major
9,170,59,48,76,4,10,5,Major
3,124,78,70,68,3,11,4,Minor
8,110,50,45,41,75,11,3,Major
6,92,91,43,71,9,9,8,Minor
22,116,82,40,66,39,25,7,Major
20,129,63,84,82,70,9,7,Major
24,98,71,67,60,19,12,3,Major
17,172,74,76,76,6,10,9,Minor
17,150,68,14,76,4,10,4,Major
8,136,62,19,53,11,6,4,Minor
5,88,53,34,47,9,83,4,Minor
12,143,83,69,44,15,10,33,Major
17,100,49,17,35,71,11,3,Minor
9,143,56,39,55,14,11,13,Major
1,112,56,24,66,7,12,3,Minor
9,93,62,57,59,3,38,3,Major
1,206,43,50,55,50,15,10,Major
2,88,68,17,71,15,11,5,Minor
14,170,50,37,90,0,12,5,Major
1,84,62,24,67,21,13,28,Minor
7,134,81,53,72,51,12,5,Minor
20,158,54,50,40,61,10,6,Major
10,116,80,92,80,4,10,3,Major
28,117,61,45,69,2,9,3,Major
11,114,77,65,72,2,7,5,Minor
1,108,61,47,68,0,13,3,Minor
1,144,74,37,53,7,21,10,Minor
2,130,51,18,44,76,11,3,Major
22,116,77,79,62,33,15,3,Major
7,121,65,49,78,0,17,4,Major
17,112,64,54,81,36,11,6,Major
9,100,70,47,52,30,6,33,Minor
25,150,55,30,78,24,12,8,Minor
8,120,84,96,71,18,34,17,Minor
12,127,82,89,85,4,23,6,Minor
24,90,51,42,61,53,9,3,Major
22,128,75,79,63,33,15,4,Minor
10,143,64,31,87,4,8,4,Major
15,139,74,68,68,3,26,4,Major
9,162,49,78,64,19,11,4,Major
11,92,81,39,60,31,7,3,Major
19,95,87,57,55,10,29,7,Major
16,146,63,88,93,3,10,8,Major
17,95,55,56,82,12,34,5,Major
11,115,35,12,30,93,10,3,Minor
21,128,78,59,65,10,26,5,Major
15,130,82,69,83,3,27,5,Minor
2,127,80,74,77,36,11,4,Minor
1,150,42,20,86,21,9,9,Major
11,122,78,50,63,27,9,5,Minor
20,140,52,20,85,0,7,5,Major
2,140,63,22,54,46,12,8,Major
2,119,75,48,53,18,18,34,Minor
22,110,76,96,72,32,9,4,Minor
1,95,60,17,45,16,11,2,Major
20,132,56,20,55,45,32,3,Major
31,125,77,74,78,4,23,11,Minor
19,124,84,65,50,67,13,6,Minor
1,133,93,68,65,42,12,25,Minor
1,112,92,67,66,0,36,9,Major
13,97,79,92,89,5,6,5,Major
24,90,59,52,48,38,10,11,Minor
6,80,65,27,69,8,53,4,Minor
1,172,45,33,59,6,8,3,Major
10,120,60,24,35,73,31,3,Major
27,140,74,96,80,18,5,5,Minor
30,128,81,90,77,1,9,5,Minor
26,122,78,70,81,57,10,5,Major
1,130,47,86,92,8,5,24,Major
2,160,69,61,71,33,31,20,Major
5,144,73,87,70,6,28,5,Major
4,192,50,85,52,11,28,6,Major
17,163,54,40,67,0,9,17,Major
1,122,66,48,71,6,12,4,Minor
19,154,61,41,74,21,40,6,Major
4,117,73,31,69,6,11,4,Minor
23,138,78,89,83,10,12,5,Minor
13,96,86,74,80,33,8,6,Major
4,104,77,36,63,1,36,5,Major
1,164,45,24,62,8,16,3,Major
20,118,68,61,82,2,50,3,Major
25,81,68,51,60,3,19,10,Minor
6,117,82,73,45,54,7,3,Major
2,174,45,10,37,97,64,4,Major
1,128,73,60,77,3,11,4,Major
5,145,60,43,27,94,14,4,Major
25,150,65,51,55,73,14,3,Minor
2,90,60,13,53,4,21,4,Minor
1,85,55,42,53,17,22,3,Major
1,180,33,38,71,20,28,5,Major
12,166,57,84,94,11,37,9,Major
25,160,71,40,50,16,16,22,Major
1,160,65,95,80,5,41,16,Major
1,92,70,81,63,4,8,4,Major
19,170,56,53,64,11,45,6,Major
6,96,83,93,65,58,9,8,Minor
17,120,67,40,52,86,12,4,Major
13,98,70,37,54,6,9,8,Major
21,92,53,12,34,1,12,4,Major
18,150,34,24,56,4,11,3,Major
21,94,37,17,47,2,11,3,Major
19,90,74,36,63,26,27,5,Minor
20,160,54,54,55,67,42,11,Major
30,120,70,59,75,24,9,4,Major
1,109,63,46,85,1,9,5,Major
13,129,57,41,66,63,12,5,Minor
16,157,54,75,60,30,7,5,Major
9,130,63,49,73,5,9,3,Major
6,107,65,19,72,10,13,25,Minor
7,146,50,67,89,0,19,8,Minor
10,139,48,37,41,32,10,10,Minor
1,116,74,76,70,7,13,3,Major
20,95,84,52,77,12,7,4,Minor
8,170,62,55,80,15,37,7,Minor
19,134,81,18,64,3,10,11,Minor
19,84,57,86,90,2,9,5,Minor
2,146,61,20,48,21,12,6,Minor
1,74,53,24,67,11,10,28,Minor
11,144,75,35,48,84,10,12,Major
24,136,77,79,73,15,27,10,Minor
15,100,56,53,55,53,12,4,Major
2,105,89,67,78,9,7,33,Minor
26,106,67,24,78,15,30,4,Major
30,132,85,53,68,40,9,4,Major
2,120,78,5,30,21,13,5,Major
17,155,82,51,39,2,9,49,Major
13,129,70,42,43,78,11,3,Major
29,135,80,85,74,62,8,9,Minor
2,98,73,45,62,28,13,13,Minor
